"STATE","Year","Fatalities","Occurrence"
"AL",1950,15,2
"AR",1950,51,13
"CO",1950,1,3
"CT",1950,3,2
"FL",1950,0,6
"GA",1950,1,4
"IA",1950,5,4
"IL",1950,34,11
"IN",1950,0,3
"KS",1950,27,33
"KY",1950,0,2
"LA",1950,173,28
"MD",1950,0,1
"MN",1950,4,1
"MO",1950,8,6
"MS",1950,29,16
"NC",1950,8,9
"ND",1950,0,2
"NE",1950,135,6
"NM",1950,0,2
"OH",1950,31,3
"OK",1950,51,25
"PA",1950,3,6
"SC",1950,0,1
"SD",1950,0,1
"TN",1950,18,3
"TX",1950,117,20
"WI",1950,15,6
"WV",1950,0,1
"WY",1950,0,3
"AL",1951,13,5
"AR",1951,7,3
"CA",1951,0,1
"CO",1951,2,8
"CT",1951,17,3
"FL",1951,3,9
"GA",1951,0,3
"IA",1951,17,5
"IL",1951,60,5
"IN",1951,6,5
"KS",1951,123,77
"KY",1951,12,2
"LA",1951,14,10
"MA",1951,0,2
"MI",1951,5,8
"MN",1951,66,4
"MO",1951,2,6
"MS",1951,20,9
"NC",1951,0,4
"ND",1951,0,2
"NE",1951,8,9
"NH",1951,0,1
"NJ",1951,2,1
"NM",1951,0,2
"OH",1951,5,3
"OK",1951,16,45
"OR",1951,0,1
"PA",1951,1,4
"SC",1951,0,1
"SD",1951,5,2
"TN",1951,0,1
"TX",1951,121,15
"VA",1951,12,5
"WI",1951,20,7
"WV",1951,1,1
"AL",1952,122,13
"AR",1952,843,29
"AZ",1952,0,1
"CA",1952,0,1
"CO",1952,6,3
"FL",1952,9,10
"GA",1952,34,13
"IA",1952,5,6
"IL",1952,1,4
"IN",1952,0,2
"KS",1952,3,21
"KY",1952,21,3
"LA",1952,55,11
"MD",1952,1,4
"MN",1952,29,11
"MO",1952,135,11
"MS",1952,37,7
"MT",1952,3,2
"NC",1952,9,7
"ND",1952,28,11
"NE",1952,21,11
"NJ",1952,0,4
"NY",1952,0,1
"OH",1952,4,2
"OK",1952,2,25
"PA",1952,14,7
"SC",1952,6,3
"SD",1952,0,5
"TN",1952,734,26
"TX",1952,13,13
"VA",1952,2,3
"WI",1952,8,1
"WY",1952,0,1
"AL",1953,264,22
"AR",1953,9,11
"CA",1953,0,2
"CO",1953,0,14
"FL",1953,36,21
"GA",1953,640,12
"IA",1953,21,32
"IL",1953,14,5
"IN",1953,14,9
"KS",1953,3,30
"LA",1953,163,32
"MA",1953,1335,4
"MD",1953,0,2
"ME",1953,2,2
"MI",1953,1109,20
"MN",1953,33,10
"MO",1953,1,6
"MS",1953,349,26
"MT",1953,0,5
"NC",1953,1,5
"ND",1953,22,10
"NE",1953,119,49
"NH",1953,5,2
"OH",1953,396,8
"OK",1953,50,56
"PA",1953,2,6
"SC",1953,2,4
"SD",1953,2,12
"TN",1953,38,17
"TX",1953,984,33
"UT",1953,0,2
"VA",1953,0,6
"VT",1953,0,1
"WI",1953,36,9
"WY",1953,0,7
"AL",1954,36,10
"AR",1954,39,33
"AZ",1954,0,2
"CA",1954,0,1
"CO",1954,0,9
"CT",1954,2,2
"DE",1954,0,1
"FL",1954,8,13
"GA",1954,227,37
"IA",1954,5,19
"ID",1954,0,3
"IL",1954,20,9
"IN",1954,6,32
"KS",1954,2,68
"KY",1954,0,3
"LA",1954,13,11
"MA",1954,0,2
"MD",1954,8,2
"ME",1954,3,2
"MI",1954,2,12
"MN",1954,1,7
"MO",1954,7,40
"MS",1954,63,19
"MT",1954,0,4
"NC",1954,5,9
"ND",1954,0,4
"NE",1954,39,19
"NH",1954,0,1
"NM",1954,0,8
"NY",1954,0,2
"OH",1954,5,13
"OK",1954,106,61
"OR",1954,0,1
"PA",1954,10,22
"SC",1954,0,1
"SD",1954,4,16
"TN",1954,4,2
"TX",1954,132,84
"UT",1954,0,1
"VA",1954,0,5
"WA",1954,0,1
"WI",1954,4,13
"WV",1954,0,3
"WY",1954,0,2
"AL",1955,32,30
"AR",1955,35,65
"AZ",1955,0,7
"CA",1955,0,7
"CO",1955,1,36
"CT",1955,0,3
"DE",1955,1,1
"FL",1955,0,24
"GA",1955,9,36
"HI",1955,0,2
"IA",1955,0,25
"ID",1955,0,2
"IL",1955,10,62
"IN",1955,29,35
"KS",1955,356,161
"KY",1955,13,18
"LA",1955,0,15
"MA",1955,0,8
"ME",1955,0,1
"MI",1955,2,33
"MN",1955,26,40
"MO",1955,25,77
"MS",1955,1,18
"MT",1955,0,16
"NC",1955,3,18
"ND",1955,21,26
"NE",1955,45,68
"NH",1955,0,3
"NJ",1955,0,4
"NM",1955,0,4
"NY",1955,0,4
"OH",1955,13,23
"OK",1955,322,136
"OR",1955,0,2
"PA",1955,1,16
"SC",1955,17,20
"SD",1955,2,32
"TN",1955,16,31
"TX",1955,65,241
"UT",1955,0,3
"VA",1955,0,13
"VT",1955,0,5
"WA",1955,0,5
"WI",1955,7,25
"WV",1955,0,5
"WY",1955,3,7
"AL",1956,228,26
"AR",1956,20,66
"AZ",1956,0,7
"CA",1956,2,2
"CO",1956,0,33
"CT",1956,0,5
"FL",1956,21,22
"GA",1956,2,42
"IA",1956,9,46
"ID",1956,0,17
"IL",1956,42,63
"IN",1956,53,65
"KS",1956,55,228
"KY",1956,17,19
"LA",1956,4,20
"MA",1956,14,24
"MD",1956,0,7
"ME",1956,0,2
"MI",1956,558,70
"MN",1956,0,46
"MO",1956,23,93
"MS",1956,64,16
"MT",1956,0,20
"NC",1956,2,21
"ND",1956,9,17
"NE",1956,8,102
"NH",1956,0,3
"NJ",1956,8,9
"NM",1956,0,12
"NY",1956,0,14
"OH",1956,7,33
"OK",1956,136,186
"OR",1956,0,3
"PA",1956,9,22
"RI",1956,0,3
"SC",1956,2,26
"SD",1956,3,50
"TN",1956,69,23
"TX",1956,11,170
"UT",1956,0,2
"VA",1956,0,26
"VT",1956,0,1
"WA",1956,0,5
"WI",1956,61,25
